BW,img_resolution,gpu_power,av_end2end_delay,av_gpu_delay,av_num_obj,AP1,powermeter_av,rapl_av,clocksp_av
0.11111111111111112,0.8979591836734693,0.8032128514056224,0.009425593257928588,0.6807511737089202,0.3076923076923077,0.6599999999999999,0.440594413088519,0.5028007468658309,0.3441720860430215
0.11111111111111112,0.46938775510204067,0.7550200803212851,0.08050565535595476,0.05245968565013268,0.15384615384615385,0.41999999999999993,0.03693648638994071,0.9938650306748464,0.3656828414207105
0.4444444444444445,0.04081632653061207,0.8473895582329317,0.22998447549345755,0.5839967340273525,1.0000000000000002,0.8600000000000001,0.3802957776666429,0.897706054947986,0.4857428714357179
1.0,0.5714285714285712,0.7710843373493975,0.2246839654025283,0.39110022453561955,0.6153846153846154,0.8400000000000001,0.20854468814746022,0.1799146439050413,0.25812906453226625
0.0,0.8367346938775508,0.9437751004016063,0.15954757152361942,0.6074709124311084,1.0000000000000002,0.3799999999999999,0.3525041080231478,0.2061883168845025,0.6283141570785393
0.4444444444444445,0.346938775510204,0.285140562248996,0.0212463960966955,0.21494182486221675,0.5384615384615385,0.74,0.4823890833750091,0.9314483862363296,0.31715857928964497
1.0,0.40816326530612224,0.4457831325301205,0.021623419827012644,0.00816493161869769,0.0,0.1200000000000001,0.5144673858684005,0.4531875166711122,0.13406703351675842
0.11111111111111112,0.7142857142857142,0.5140562248995983,0.08984253714792638,0.8528271075729741,0.4615384615384616,0.54,0.33421447453025654,0.9710589490530808,0.9229614807403701
0.4444444444444445,0.26530612244897944,0.4136546184738956,0.03464182745619872,0.43600734843845684,0.8461538461538463,0.6200000000000001,0.31485318282489105,0.192317951453721,0.08804402201100547
0.11111111111111112,0.9999999999999998,0.18072289156626506,0.010578842315369262,0.8128189426413553,0.15384615384615385,0.19999999999999996,0.48817603772236906,0.7964790610829553,0.2846423211605804
0.0,0.46938775510204067,0.32530120481927716,0.17824351297405192,0.4482547458665034,0.5384615384615385,0.8400000000000001,0.2961348860470101,0.08028807682048544,0.9674837418709354
0.0,0.9387755102040816,0.7911646586345381,0.04841428254601907,0.5858338436415595,0.38461538461538464,0.3999999999999999,0.7843109237693793,0.29687916777807416,0.5342671335667835
0.0,0.9387755102040816,0.44979919678714864,0.0465513417609226,0.4680547050418453,0.38461538461538464,0.26,0.06258483960848754,0.7579354494531874,0.4957478739369685
0.0,0.6530612244897958,0.16064257028112447,0.010556664448880019,0.7464788732394366,0.7692307692307694,0.8600000000000001,0.9377723797956706,0.9889303814350494,0.8679339669834918
1.0,0.08163265306122436,0.5381526104417671,0.032978487469505435,0.7285160236783018,0.9230769230769231,0.52,0.6012002571979711,0.9239797279274473,0.6163081540770385
0.11111111111111112,0.22448979591836715,0.7269076305220883,0.03262364160567754,0.8940600122473975,0.4615384615384616,0.48,0.8652568407515897,0.20125366764470526,0.9279639819909955
0.4444444444444445,0.7346938775510203,0.020080321285140562,0.1684408959858062,0.8760971626862625,0.23076923076923078,0.3600000000000001,0.8081017360863043,0.39223793011469715,0.6028014007003502
0.11111111111111112,0.020408163265305923,0.2248995983935743,0.061610113107119106,0.576852418860992,0.9230769230769231,0.6599999999999999,0.5601200257197971,0.7708722325953588,0.680840420210105
0.11111111111111112,0.0,0.8313253012048193,0.23155910401419386,0.5460298020004083,1.0000000000000002,0.45999999999999996,0.6838608273201401,0.18951720458789012,0.6988494247123562
0.0,0.7551020408163263,0.7429718875502008,0.0007096917276557996,0.1351296182894468,0.4615384615384616,0.5,0.9929984996785025,0.2746065617497999,0.10705352676338187
0.11111111111111112,0.16326530612244894,0.47791164658634533,0.039143934353515195,0.5364360073484384,0.7692307692307694,0.17999999999999994,0.1600342930627992,0.9511869831955186,0.8829414707353678
